threshold,class_label,direction,trained_cond_pct,trained_unc_pct,trained_imp_pct,baseline_cond_pct,baseline_unc_pct,baseline_imp_pct,novel_trained_cond_pct,novel_trained_unc_pct,novel_baseline_cond_pct,novel_baseline_unc_pct,novel_random_pct
0.01,1,alive,57.8125,12.5,45.3125,50.0,7.8125,42.1875,81.25,-1.5625,76.5625,-1.5625,100.0
0.01,0,dead,9.375,-21.875,31.25,10.9375,-12.5,23.4375,100.0,26.5625,100.0,32.8125,100.0
0.1,1,alive,50.0,17.1875,32.8125,50.0,14.0625,35.9375,82.8125,10.9375,78.125,-1.5625,100.0
0.1,0,dead,1.5625,-12.5,14.0625,3.125,-17.1875,20.3125,100.0,34.375,100.0,23.4375,100.0
0.3,1,alive,46.875,9.375,37.5,39.0625,-6.25,45.3125,81.25,-1.5625,79.6875,-6.25,100.0
0.3,0,dead,1.5625,-29.6875,31.25,7.8125,-17.1875,25.0,100.0,28.125,100.0,21.875,100.0
0.5,1,alive,45.3125,6.25,39.0625,50.0,14.0625,35.9375,84.375,9.375,81.25,0.0,100.0
0.01,1,alive,43.75,15.625,28.125,45.3125,21.875,23.4375,78.125,6.25,84.375,14.0625,100.0
0.01,0,dead,12.5,-12.5,25.0,14.0625,-6.25,20.3125,100.0,34.375,100.0,31.25,100.0
0.1,1,alive,42.1875,9.375,32.8125,39.0625,-3.125,42.1875,78.125,0.0,76.5625,3.125,100.0
0.1,0,dead,3.125,-31.25,34.375,3.125,-26.5625,29.6875,100.0,26.5625,100.0,23.4375,100.0
0.3,1,alive,45.3125,14.0625,31.25,40.625,1.5625,39.0625,75.0,-4.6875,79.6875,-3.125,100.0
0.3,0,dead,3.125,-28.125,31.25,3.125,-31.25,34.375,100.0,28.125,100.0,21.875,100.0
0.5,1,alive,60.9375,23.4375,37.5,43.75,3.125,40.625,85.9375,7.8125,75.0,-9.375,100.0
0.5,0,dead,0.0,-25.0,25.0,3.125,-21.875,25.0,100.0,20.3125,100.0,28.125,100.0
